ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
88,Learner-adapted practice promotes skill transfer in unskilled adults learning the basketball set shot,"Given that the assigned task challenge would match the individual’s relative task difficulty, it was hypothesised that learner-adapted practice would lead to a greater proportion of skill repetitions performed at shooting locations of greater difficulty (i.e. greater distance and angle to basket). As a result, it was predicted that participants engaging in learner-adapted practice would demonstrate poorer performance throughout practice, compared to both blocked and random practice",main effect,"Analysis revealed a significant effect of shooting location on the number of trials executed, F (3,33) = 73.03, p < .05, n2p = .90.",,,,,,3,33,73.03,p < 0.05,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
89,Individual optimal step frequency during outdoor running,We hypothesized that (ii) during outdoor over-ground running trained recreational runners would run at a PSF slightly lower than their OSF,main effect,In the majority of runs PSF was lower than OSF (Figure 2(B)).,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
90,"Dim light, sleep tight, and wake up bright – Sleep optimization in athletes by means of light regulation","It was hypothesized that compared to a fixed sleep schedule only, carefully timed morning-light exposure and blue-light blocking in the evening, would improve (1) objective, actigraphy-based measures of sleep onset latency,",main effect,None of the actigraphy-based sleep estimates differed significantly between conditions (all p’s > .07),,,,,,1,7,0.005,p = 0.944,standardised,no,yes,no,,Yes,Yes,Yes,No,standardised,No,,,
91,Testing the deconditioning hypothesis of low back pain: A study in 1182 older women,"We hypothesized that (a) a higher percentage of women over 60 years with LBP will be inactive compared to those without LBP and (b) when physical activity matched, older women with LBP will have similar results in countermovement jump, gait speed, chair rise and grip strength to those without LBP.",main effect,"Results from the two-way ANOVA showed physical activity status (p = 0.004), but not LBP (p = 0.54), was related to countermovement jump height (Table II). There was no interaction between physical activity and LBP status (p = 0.15; Table II).",,,,,,,,,p = 0.541,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
93,Habitual Caffeine Consumption Does Not Interfere With the Acute Caffeine Supplementation Effects on Strength Endurance and Jumping Performance in Trained Individuals,we hypoth- esized that caffeine supplementation would improve strength endur- ance and jumping performance and reduce RPE and pain responses comparably in individuals differently habituated to caffeine.,main effect,"Analysis revealed a trial (p < .0001) but not a consumption main effect (p = .836) in total repetitions, showing that CAF supplemen- tation improved total repetitions when compared to PLA (p= .0002) and CON (p=.0001), regardless of CAF consumption habituation (low, moderate, and high tertiles). Moreover, no dif- ference was detected between CON and PLA (p = .988).",,,,,,,,,p = 0.836,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
94,Increasing Meal Frequency in Isoenergetic Conditions Does Not Affect Body Composition Change and Appetite During Weight Gain in Japanese Athletes,We hypothesized that frequent meals would be more advantageous for ease of eating even if there is no difference in weight gain due to isoenergetic condition.,difference of means,"Energy status, nutritional intake levels, and EB were not signifi- cantly different between the trials (Tables 1 and 2).",,,p = 0.70,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
95,No Effects of Different Doses of New Zealand Blackcurrant Extract on Cardiovascular Responses During Rest and Submaximal Exercise Across a Week in Trained Male Cyclists,We hypothesized that intake of NZBC would improve cardio- vascular activity at rest and during exercise mainly through an increment in CO and SV with a reduction in TPR in a dose- dependent manner.,interaction effect,"Similarly, no differences were observed for HR, SV, CO, and TPR for time condition and interaction effect (Table 2).",,,Yes,Yes,not reported,,,,,,,no,no,,Yes,Yes,No,No,Both,No,,,
96,Carbohydrate and Protein Co-Ingestion Postexercise Does Not Improve Next-Day Performance in Trained Cyclists,"We hypothesized that immediate protein supplementation postexercise would improve TT performance the next day due to increased glycogen resynthesis in the early phase of recovery,",main effect,"Work completed in the 30-min TT on Day 2 after glycogen- lowering exercise was not different between the conditions (401±75, 411±80, and 404±58 kJ in CHO, CHO+PRO, and CHO + PROH, respectively, p = .83; dz = 0.11 and 0.07 for CHO + PRO and CHO + PROH, respectively).",,,,,,,,,p = 0.83,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
97,Increased Performance in Elite Runners Following Individualized Timing of Sodium Bicarbonate Supplementation,"We hypothesized that individualized SBS would im- prove performance and increase blood HCO3−, pH, and lactate.",difference of means,Overall performance improved by ∼6 s (775.5 ± 16.2 s vs. 781.4 ± 16.1 s) following SBS compared with PLA (Table 1).,,,p < 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
99,"The Effects of a High-Protein Diet on Markers of Muscle Damage Following Exercise in Active Older Adults: A Randomized, Controlled Trial",We hypothesized that a higher protein intake would lessen muscle soreness and inflammation following the exercise bout and muscle function would be restored quicker in the subsequent 48 hr.,interaction effect,"The MIVC were lower following muscle-damaging exercise in both groups (time effect; p = .001, η2p = .421; Figure 1a), but no interaction effects were present (p = .822, η2p = .012).",,,,,,,,,p = 0.822,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
100,Caffeinated Chewing Gum Improves Bicycle Motocross Time-Trial Performance,It was hypothe- sized that CAF would improve TT time and power production.,main effect,"There was a significant condition effect on TT time F(1, 14) = 33.570, p = .001, η2p = .71; −1.5% ± 0.4 following CAF consumption compared with placebo.",,,,,,1,14,33.57,p = 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
101,"Effect of Dark Chocolate Supplementation on Tissue Oxygenation, Metabolism, and Performance in Trained Cyclists at Altitude",t was hypothesized that DC would improve the oxygenation status in the VL and the prefrontal cortex during exercise at simulated (normobaric) altitude while enhancing energy metabo- lism (evidenced by enhanced blood glucose stability and decreased blood lactate). It was hypothesized that these beneficial effects will result in improved TT performance in trained cyclists.,difference of means,"The TT performance did not differ between the DC and placebo conditions (19.04 [2.16] min, 95% CI [17.8, 20.3] vs. 19.21 [1.96] min, 95% CI [18.1, 20.3]; effect size = −0.09; p = .77).",,,p = 0.77,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
102,Acute and Chronic Citrulline Malate Supplementation on Muscle Contractile Properties and Fatigue Rate of the Quadriceps,We hypothesized that supplementing with CM both acutely and chronically would help attenuate quadriceps fatigue while maintaining contractile efficiency levels through an improved blood flow to the quadriceps.,interaction effect,There were no significant Supplement × Time interactions from BL to D1 (acute supplementation) in...fatigue rate (p = .631; η2p = .014),,,,,,,,,p = 0.631,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
104,No Effect of New Zealand Blackcurrant Extract on Recovery of Muscle Damage Following Running a Half-Marathon,"It was hypothesized that NZBC extract, when compared with a placebo (PLA), would facilitate recovery by accelerating the return of muscle function, reducing muscle soreness and fatigue, and inhibiting the exercise- induced inflammatory cascade.",interaction effect,"Apart from time to takeoff, no group or interaction effects were present at any time point for any of the CMJ outcome or neuromuscular variables (all ps > .05; Table 3).",,,,,,,,,p > 0.05,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
105,Acute Consumption of Varied Doses of Cocoa Flavanols Does Not Influence Exercise-Induced Muscle Damage,"The hypothesis for this study was that EIMD might be attenuated following acute consumption of CF, with the highest dose offering the most benefit.",difference of means,There were no significant differences between groups for knee flexor peak torque at MVIC60 (p = .99) or MVIC30 (p = .95) at baseline,,,p = 0.95,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
106,Metabolism and Whole-Body Fat Oxidation Following Postexercise Carbohydrate or Protein Intake,We hypothesized that there would be a marked increase in fat oxidation after prior exercise and that protein intake would not interfere with the increase whereas carbohydrate intake would.,interaction effect,"there was a significant increase in fat oxidation during the second test after all three drinks and at all intensities (Figure 2, p < 0.001 using 2-way ANOVA for all intensities). There was no significant difference in fat oxidation between PLA and PRO, whereas CHO was significantly lower than both PLA and PRO (p < 0.01).",,,,,,,,,p < 0.001,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
107,Difference in Interoception between Long-Distance Runners and Sprinters: An Event-related Potential Study,We hypothesized that the interoception of long-distance runners would be superior to that of sprinters because interoception is more im- portant in competitive endurance races than in sprint races.,difference of means,"Sprinters had a higher interoceptive ability of controlling their attention with respect to their own bodies than long-distance runners (at- tention regulation (MAIA subscale 4): 3.2 ± 0.5 (sprinters) vs 2.8 ± 0.4 (long-distance runners); t(30) = 2.47, P = 0.020, d = 0.87).",30,2.47,p = 0.02,standardised,not reported,,,,,,,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
108,Pectin-Alginate Does Not Further Enhance Exogenous Carbohydrate Oxidation in Running,It was hypothesized that a maltodextrin–fructose mixture would enhance exogenous carbohydrate oxidation rates com- pared with maltodextrin–glucose ingestion,difference of means,"At the end of 120 min of exercise, exogenous carbohydrate oxidation rates were 0.9 (SD 0.5) g·min−1 with MAL + GLU ingestion. MAL + FRU ingestion increased exogenous carbohydrate oxidation rates to 1.1 (SD 0.3) g·min−1 (P = 0.038)",,,p = 0.038,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
109,Impact of Menstrual Blood Loss and Oral Contraceptive Use on Oxygen-carrying Capacity,We hypothesized that hemoglobin mass would not change across phases of the menstrual cycle.,main effect,"Hemoglobin mass was not affected by menstrual cycle phase (early follicular, 618 ± 61; late follicular, 610 ± 65; luteal, 607 ± 68 g; P = 0.52)",,,,,,,,,p = 0.52,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
110,"A 30-Min Rest Protocol Does Not Affect W′, Critical Power, and Systemic Response","we hypothesized primed oxygen kinetics, elevated [BLa−], and faster HHb but nonsignifi- cant differences and a high agreement for W′ and CP between the protocols.",difference of means,"No significant differences, and trivial effect sizes, were found for W' and CP between protocols (p = 0.106, ES = 0.08)",,,p = 0.106,standardised,Yes,,,,,,,no,no,,Yes,Yes,No,No,standardised,Yes,,,
111,Altered Position Sense after Submaximal Eccentric Exercise–inducing Central Fatigue,We hypothesized that the submaximal eccentric fatiguing protocol would induce an acute central fatigue that would be associated with position sense alterations immediately after the exercise,main effect,"significant increase in position- matching errors was found for the JPM70 task (F3, 36 = 3.86, P = 0.017, η2p = 0.24)",,,,,,3,36,3.86,0.017,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
112,Athlete–Opponent Interdependency Alters Pacing and Information-Seeking Behavior,"It was hypothesized that a higher interdependency between athlete and opponent would evoke different pacing decisions, in response to the opponent’s pacing behavior, and would alter the information-seeking behavior of the exerciser.",interaction effect,"An interaction effect for condition–segment (F = 2.3, P = 0.042) was revealed, indicating differences in pacing profile between conditions",,,,,,6,66,2.3,P = 0.042,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
113,"Hydrogel Carbohydrate-Electrolyte Beverage Does Not Improve Glucose Availability, Substrate Oxidation, Gastrointestinal Symptoms or Exercise Performance, Compared With a Concentration and Nutrient-Matched Placebo","a carbohydrate-electrolyte solution with sodium alginate and pectin for hydrogel formation (CES- HGel) would result in an increased rate of appearance of blood glucose and total carbohydrate oxidation, but with no differences in carbohydrate malabsorption, GIS, or time to exhaustion (TTE).",difference of means,There was no significant difference between trials for TTE performance (CES- HGel 744 ± 182 s and CES-Std 756 ± 187 s; p = .080) (Figure 3).,,,p = 0.08,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
114,Effect of Drinking Rate on the Retention of Water or Milk Following Exercise-Induced Dehydration,the fluid retained from the consumption of a nutrient-dense beverage would be unaffected by drinking rate; and that slower intake of a hypotonic beverage would enhance subsequent fluid retention.,main effect,"cumulative urine output was lower for the DR90 trial (602 ± 183 g) compared with the DR45 (750 ± 373 g) and DR15 (754 ± 230 g) trials, but this did not reach statistical significance (p > .05)",,,,,,,,,p < 0.01,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
115,Presleep Protein Supplementation Does Not Improve Recovery During Consecutive Days of Intense Endurance Training: A Randomized Controlled Trial,We hypothesized that the ingestion of protein supplements every night prior to sleep would reduce muscle damage and the decline in performance after 1 week of intensified training compared with controls receiving an isocaloric carbohydrate supplement.,difference of means,no significant difference in decline between groups (p > .05; Figure 2).,,,p > 0.05,not reported,not reported,,,,,,,clinical trial,no,,Yes,Yes,No,No,No,No,,,
116,"Perception of Carbohydrate Availability Augments High-Intensity Intermittent Exercise Capacity Under Sleep-Low, Train-Low Conditions",We specifically hypothesized that perception of CHO availability would improve morning exercise capacity compared with known train-low conditions but that perception would not restore exercise capacity to that of true train-high conditions.,difference of means,"Exercise capacity was also greater in PERCEPTION compared with TRAIN LOW (p = .025: 95% CI for differences = 1–8 min, very likely beneficial; see Figure 3a).",,,p = 0.025,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
117,"Adding Fish Oil to Whey Protein, Leucine, and Carbohydrate Over a Six-Week Supplementation Period Attenuates Muscle Soreness Following Eccentric Exercise in Competitive Soccer Players","we hypothesized that coingesting n-3PUFA with whey protein, leucine and carbohydrate over a six- week supplementation period would reduce muscle soreness, attenuate the inflammatory response to exer- cise and improve soccer-specific performance during a 72-hour exercise recovery period compared to a protein control condition and a carbohydrate control condition.",difference of means,Dominant leg soreness was lower in FO compared with PRO (p=0.016) and CHO (p=0.006) after 24 hours. Posthoc comparison,,,p = 0.016,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
119,Frequent Carbohydrate Ingestion Reduces Muscle Glycogen Depletion and Postpones Fatigue Relative to a Single Bolus,"We hypothesized that time to exhaustion (TTE) will be significantly greater in the FREQ condition and that net muscle glycogen utilization (i.e., magnitude of depletion) will be higher in the BOL condition prior to the carbohydrate bolus ingestion.",difference of means,"TTE was greater for all participants in FREQ compared with BOL (105.7 ± 3.0 vs. 96.4 ± 5.0 min; Δ 9.3 min; 95% CI [2.8, 15.8] min; Figure 2).",,,not reported,unstandardised,"yes, only for the unstandardised",,,,,,,yes,no,,Yes,No,No,No,unstandardised,"yes, only for the unstandardised",,,
120,Ingesting a 12% Carbohydrate-Electrolyte Beverage Before Each Half of a Soccer Match Simulation Facilitates Retention of Passing Performance and Improves High-Intensity Running Capacity in Academy Players,"We hypothesized that ingesting 250 ml of a 12% CHO-E beverage before kickoff and during the halftime period, versus the ingestion of an equivalent volume of a placebo-electrolyte be- verage, would improve the retention of soccer-specific skills (dribbling speed and accuracy, passing speed and accuracy), sprint speed, and anaerobic endurance running capacity during and after a 90-min SMS conducted in a cool environment.",interaction effect,There was a significant time × trial interaction (p=0.02) on passing score (accuracy) for both feet. ,,,,,,,,,0.02,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
121,Effects of Carbohydrate Mouth Rinsing on Upper Body Resistance Exercise Performance,It was hypothesized that CMR would increase RE training session volume in resistance-trained males.,difference of means,"There were no differences between the total number of repetitions completed or the total session volume between treatments (CHO = 203±25 repetitions vs. placebo=201±23 repetitions, p=.46, Cohen’s d = 0.10).",,,p = 0.46,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
122,Movement strategy correspondence across jumping and cutting tasks after anterior cruciate ligament reconstruction,"It was hypothesized that the bilateral drop jump task and 90° pre-planned

cut would display a knee dominant strategy, whereas the unilateral drop jump would

demonstrate a similar proportion of work done between the ankle, knee and hip joints",difference of means,"a lower proportion of work done was observed at the knee (d = 0.447, p < 0.001) compared to the bilateral drop jump (Figure 1).",,,p < 0.001,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
123,Continuous Jumps Enhance Twitch Peak Torque and Sprint Performance in Highly Trained Sprint Athletes,The main hypothesis is that the CA will induce PAP on the quadriceps muscles and positively affect the performance of subsequent sprints (PAPE).,interaction effect,"For the 30-m sprint performance (Figure 3B), analysis of variance showed a condition×time interaction (P<.01; F= 3.61).",,,,,,5,55,3.61,p < 0.01,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
124,Small-Sided Games Are Not as Effective as Intermittent Running to Stimulate Aerobic Metabolism in Prepubertal Soccer Players,"We hypothesized that larger SSG would lead to greater physiological demand (ie, time spent at high intensity), while reducing technical demand (ie, less passes, more ball touches per possession), compared with a smaller SSG, in prepubertal players.",main effect,"T≥90%,HRmax was similar between the 3 SSG.",,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
125,Enhanced Cycling Time-Trial Performance During Multiday Exercise With Higher-Pressure Compression Garment Wear,"We hypothesized that, compared with a CG with lower compression levels and loose-fitting gym attire, a high-pressure garment would signifi- cantly improve performance during consecutive-day aerobic cycling exercise.",main effect,"Specifically, there was a significant main effect for condition on TT performance (CON = 1010 [364], LC = 988 [319], HC = 947 [304] s, P = .04, η2 = .24, Figure 2).",,,,,,,,,p = 0.04,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
126,Effect of Resistance-Training Programs Differing in Set Configuration on Maximal Strength and Explosive-Action Performance,"we hypothesized that the gains in BP1RM, BPT30, and HTV would be comparable for both experimental groups (traditional group [TRG] and rest redistribution group [RRG]) in comparison with a control group (CG).",interaction effect,"The ANOVA applied on BP1RM revealed a significant time × group interaction (F2,32 = 14.4, P < .01, η2p = .474, statistical power = 1.00) due to higher values at posttest compared with pretest for TRG (P < .01; ES = 0.77; 95% CI, 0.39 to 1.25) and RRG (P < .01; ES = 0.59; 95% CI, 0.27 to 0.98) but not for CG (P = .66; ES = −0.03; 95% CI, −0.33 to 0.26).",,,,,,2,32,14.4,p < 0.01,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
127,Effect of Acute Interset Foot Cooling on Lower Limb Strength Training Workout,"We hypothesized that interset FC in- creases total exercise volume, amplifies EMG amplitude, and reduces RPE values during multiple sets of a leg press pyramid workout.",difference of means,"Overall, total exercise volume with FC (4774.7 [1032.6] kg) was significantly higher (t = 3.599, P = .004, ES = 1.259) than that with NC (3674.7 [1225.5] kg).",11,3.599,p = 0.004,standardised,not reported,,,,,,,no,no,,Yes,Yes,Yes,No,standardised,No,,,
128,Does Cold-Water Immersion After Strength Training Attenuate Training Adaptation?,We hypothesized that regular CWI would lead to reduced adaptations of leg press 1-repetition maximum (1RM) and countermovement jump (CMJ) height.,interaction effect,"No significant effects were found for strength performance (condition: F = 0.18, P = .86; time: F = 1.15, P = .34; condition × time: F = 2.66, P = .09)",,,,,,4,40,2.66,p = 0.09,not reported,no,clinical trial,no,,Yes,Yes,Yes,No,No,No,,,
129,The Effect of Upper-Body Positioning on the Aerodynamic– Physiological Economy of Time-Trial Cycling,It was hypothesized that there would be a reduction in power output at the lactate threshold (LT) as the hip angle decreased.,main effect,"There were no differences in power output at a blood lactate concentration of 4 mmol·L−1 (control = 286 [42] W, 12° = 271 [49] W, 16°=283 [52] W, 20°=286 [43] W, and 24°=284 [62] W, P=.222).",,,,,,,,,p = 0.222,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
131,Improved 2000-m Rowing Performance in a Cool Environment With an External Heating Garment,It was hypothesized that the heated jacket would improve performance in a cool environment by attenuating the decline in body temperature,difference of means,"Rowing performance was faster in HEAT versus CON (433.1 [12.7] s vs 437.9 [14.4] s, Δ1.1%, t = 4.3, P < .01, η2 = .92; Figure 2).",9,4.3,p < 0.01,standardised,not reported,,,,,,,no,no,,Yes,Yes,Yes,No,standardised,No,,,
132,Effects of balance training with stroboscopic glasses on postural control in chronic ankle instability patients,"We hypothesized that the strobe group (training with stroboscopic glasses) would

show more improvements in postural control than the control group (training without the glasses).",interaction effect,"There was a significant group × condition interaction in pretest-posttest mean differences for velocity in the mediolateral direction (VelML) (p = .01),",,,,,,,,,p = 0.01,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
133,Cross-education effects of unilateral accentuated eccentric isoinertial resistance training on lean mass and function,"it was hypothesized that a greater eccentric overload during RT would evoke greater increases in muscle strength, power and mass of the non-trained contralateral leg.",difference of means,"When comparing TL and NTL, no significant (p>0.05) differences were found in the 1-RM change (Figure 1B).",,,p > 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
134,Indirect Markers of Muscle Damage Throughout the Menstrual Cycle,"We hypothesize that muscle damage is lower when the estrogen concentration is higher, as it is observed in LFP.",interaction effect,"an interaction between phase and time(F2,44=3.098;P= .046) was observed",,,,,,2,44,3.098,0.046,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
135,No Influence of Acute Moderate Normobaric Hypoxia on Performance and Blood Lactate Concentration Responses to Repeated Wingates,"acute moderate hypoxia versus normoxia had no detrimental effect on RW performance, while both metabolic and perceptual responses would be slightly higher.",main effect,"Mean power output (−10.7% [5.3]% for bouts 1–2 and −9.3% [5.2%] for bouts 2–3) and peak power output (−4.5% [6.5%] for bouts 1–2 and −14.2% [8.5%] for bouts 2–3) progressively decreased across repetitions (both P<.001), independently of conditions (P = .92 and P = .63, respectively,",,,,,,,,,p = 0.92,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
136,The Effect of Compression Garments on Performance in Elite Winter Biathletes,It was hypothesized that wearing compression clothing would lead to significantly improved maximal TT performance and extend TTE.,difference of means,"Compared with CON, there were small beneficial effects of COMP on performance during the TT and TTE test (d = 0.31 and 0.37, respectively), but these effects were not statistically signifi- cant (P = .273 and .212, respectively)",,,p = 0.273,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
137,Muscle Fatigability After Hex-Bar Deadlift Exercise Performed With Fast or Slow Tempo,"It was hypothesized that both protocols would induce performance fatigability; however, the ST protocol would induce larger muscle fatigability due to longer TUT.",interaction effect,Only ES for differences between ST and FT,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
138,Effect of Stretching Protocols on Glenohumeral-Joint Muscle Activation in Elite Table Tennis Players,The main hypothesis considers that muscle activation decreases after static stretching when compared with the dynamic-stretching protocol in both tennis movements.,main effect,The statistical analysis for EMG amplitude indicated that there were significant differences in the backhand (F = 12.859; P = .035),,,,,,4,92,12.859,p = 0.035,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
139,Postexercise Hot-Water Immersion Does Not Further Enhance Heat Adaptation or Performance in Endurance Athletes Training in a Hot Environment,"It was hypothesized that the addition of postex- ercise HWI would has beneficial effects on physiological markers of heat adaptation, including core body temperature, heart rate, plasma volume and sweat rate, and endurance performance.",interaction effect,No interaction,,,,,,,,,not reported,not reported,no,no,no,,no,No,No,No,No,No,,,
140,Both Caffeine and Placebo Improve Vertical Jump Performance Compared With a Nonsupplemented Control Condition,We hypothesized that ingestion of placebo would improve performance compared with control condition and that ingestion of caffeine would improve performance compared with both placebo and control conditions.,difference of means,"The pairwise comparisons revealed significant differencesbetween: (1) placebo and control conditions (P= .018; ES = 0.13;95% CI, 0.03–0.24; +2.5%)",,,P = .018,standardised,Yes,,,,,,,no,no,,Yes,Yes,No,No,standardised,Yes,,,
141,Single and Combined Effect of Acute Sleep Restriction and Mental Fatigue on Basketball Free-Throw Performance,The authors hypothesized that there would be a significant decrement in FT accuracy when players are mentally fatigued and forced into acute SR.,main effect,"There was a significant difference between conditions for FT performance (F1,18 = 4.177, P = .010, η2p = .19, medium). FT accu- racy was higher in CON than in MF (P = .015, d = 0.41, small), SR (P = .021, d = 0.43, small), and SRMF (P = .019, d = 0.41, small), with a decline in performance of approximately 7% in all 3 con- ditions.",,,,,,1,18,4.177,p = 0.01,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
142,The Influence of Intensive Anaerobic Effort on the Rhythm of Movement,"We hypothesize that high-intensity anaerobic exercise, which induces the highest fatigue changes, significantly deteriorates the ability of whole-body timing performance",main effect,"Statistically significant differ-ences were observed in XfUAPbetween thefirst and third rhythmmeasurement (F2,28=4.98,P<.014,η2p=26.23%)",,,,,,2,28,4.98,P<.014,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
143,"The effect of two retraining programs, barefoot running vs increasing cadence, on kinematic parameters: A randomized controlled trial","The hypothesis was that both strategies of running retraining would reduce the RFS prevalence and FSA, and increase the cadence when compared to a control group.",interaction effect,"significant Time × Group interaction effect was seen for the foot kinematics, Figure 2.",,,,,,,,,P < 0.05,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
145,The effect of descriptive norms and social identification on performance and exertion during a physical fitness task,participants who were told that their baseline performance was below the norm would demonstrate greater improvements in their performance (H1a) than participants who were told that their baseline performance was above the norm.,interaction effect,"Supporting H1a, there was also a significant condition × time interaction: F(1,76) = 4.47, p = 0.038, ηp 2 = 0.056,",,,,,,1,76,4.47,p = 0.038,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
146,Effect of concurrent strength and endurance training on run performance and biomechanics: A randomized controlled trial,CSE training group would improve running performance more than the control group.,main effect,"CSE training improved 2-km running performance more than the control group (F(1,25) = 9.22, p = 0.006; SMD −1.19 [−1.99, −0.39]; Figure 2)",,,,,,1,25,9.22,p = 0.006,standardised,yes,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
147,Moderate- and High-Intensity Inspiratory Muscle Training Equally Improves Inspiratory Muscle Strength and Endurance—A Double-Blind Randomized Controlled Trial,"We hypothesized that the IMT performed with CIP load would lead to better responses such as an increase in IMS, IME, and physical performance (peak power and VO2peak) compared with training with the traditional load (60% MIP) and the sham group (SHAM) in recreational cyclists.",interaction effect,"No interaction reported reported for peak power, neither effect of IMT",,,,,,,,,not reported,not reported,no,clinical trial,no,,Yes,No,No,No,No,No,,,
148,Effects of Velocity Loss Threshold Within Resistance Training During Concurrent Training on Endurance and Strength Performance,it would be expected superior enhancements in endurance performance following a CT program including moderate VL thresholds during RT.,interaction effect,"A significant “group”×“time” interaction (P=.03) was noted for vVO2max, where the VL15 group attained greater gains in vVO2max than the ET group (Table 3).",,,,,,,,,p = 0.03,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
149,"Effect of Photobiomodulation on Critical Swimming Velocity: A Randomized, Crossover, Double-Blind, and Placebo-Controlled Study","Our hypothesis is that application of PBM prior to a swim test increases CV values and decreases the final ST at distances of 100, 200, and 400 m in front crawl swimming.",unclear,"The results showed that the prior application of PBM did not have ergogenic effects on CV and front crawl swimming performance: CV (PBM = 1.15 [0.15]; PLA = 1.20 [0.25]; C = 1.15 [0.14] m·s−1),",,,,,,,,,p = 0.357,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
150,Resistance training variable manipulations are less relevant than intrinsic biology in affecting muscle fiber hypertrophy,"We hypothesized that: (1) RT-CON and RT-VAR would similarly increase type I and

II muscle fCSA",difference of means,"Importantly, no significant differences were found between RT-CON and RT-VAR for any dependent variables at post (p > 0.05) (Table 1). The chosen result is the post-treatment difference in fCSA I. No test performed on ""change score"".",,,p > 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
151,Tapering and Repeated High-Intensity Effort Ability in Young Elite Rugby Union Players: Influence of Pretaper Fatigue Level,"It was hypothesized that the taper implemented would be more beneficial for players showing acute fatigue (AF), but players normally trained would show less or no supercompensation.",difference of means,A tendency was observed toward a small improvement in NT (P=.97; g=−0.37) and AF (P=.57; g=−0.45) between t1 and t2 in TST.,,,p = 0.57,both types are reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,Both,No,,,
152,Running economy in recreational male and female runners with similar levels of cardiovascular fitness,"We hypothesized that, within a given percent difference from predicted V ̇O2max values, women would exhibit greater running economy than men.",interaction effect,"Follow-up analyses revealed that both parameters increased progressively in transition between running speeds (P < 0.05). However, although the magnitude of increase in this parameter was similar between sexes without scaling, this was not sustained after V ̇O2 was scaled allometrically (speed 􏰉 sex interaction: F 􏰈= 4.1, P 􏰈= 0.04).",,,,,,2,84,4.1,p = 0.04,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
