ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df1_f,df2_f,f_statistc,p_value,p_number,reported_p,computed_p,Agreement?,APA Text statement (original)
230,Effects of visualized PETTLEP imagery on the basketball 3-point shot: A comparison of internal and external perspectives,"intermediate skill basketball players would benefit from visualized PETTLEP imagery after training with both internal and external imagery. Further, because intermediate skill basketball players have experience in the 3-point shot we hypothesized

that the internal PETTLEP imagery group would perform better

than the external imagery group.",interaction effect,"The 2 by 2 mixed design ANOVA analyses showed a significant group × time interaction on 3-point shot scores, F (2, 46) = 7.90, p = .001, η2 = 0.256, as Table 1 and Fig. 2 illustrate.",2,46,7.9,p = 0.001,0.001,0.001,0.001,Reproduced,"F(2, 46) = 7.9, p = 0.00100"
231,The effects of mindfulness training on beginners' skill acquisition in dart throwing: A randomized controlled trial,"mindfulness, experiential acceptance, flow, and dart throwing performance in the mindfulness training group would be significantly higher than the attention control group immediately-after and two-weeks after the intervention",interaction effect,"Repeated measure ANOVA of dart throwing performance revealed a significant time by group interaction effect of the, F (2, 40) = 6.83, p = 0.003, n2 = 0 .26",2,40,6.83,p = 0.003,0.003,0.003,0.003,Reproduced,"F(2, 40) = 6.83, p = 0.00300"
232,Prior self-control exertion and perceptions of pain during a physically demanding task,"engaging in a cognitively demanding task previously shown to require self-control (i.e., an incongruent Stroop task) would result in poorer performance (hypothesis

1)",main effect,"The results revealed that there was a significant main effect for experimental trial on wall sit performance (F(1,60) = 7.62, p = 0.01, r = 0 .78).",1,60,7.62,p = 0.01,0.01,0.01,0.01,Reproduced,"F(1, 60) = 7.62, p = 0.01000"
233,Higher power of sensorimotor rhythm is associated with better performance in skilled air-pistol shooters,"Based on previous findings, we expected that lower activation of the sensorimotor cortex, as reflected by higher SMR power, would be associated with better performance.",interaction effect,"Two-way ANOVA with the factors of performance (2) and time window (3) revealed a significant interaction effect, F(2, 46) = 3.224, p = 0.049, np2 =  0.123.",2,46,3.224,p = 0.049,0.049,0.049,0.049,Reproduced,"F(2, 46) = 3.224, p = 0.04900"
234,"Worksite intervention effects on motivation, physical activity, and health: A cluster randomized controlled trial","a need-supportive group-based PA intervention (relative to a standard control condition) would lead to increases in regular PA and CRF, as well as improvements in biomedical outcome variables related to health (i.e., reduced systolic and diastolic BP, waist circumference, increased HDL-C, and lower non- HDL-C levels).",interaction effect,"Treatment x time effect F 18.14, p = 0.000, d = 0.49",1,141,18.14,P = 0.000,0,0,0,Reproduced,"F(1, 141) = 18.14, p = 0.00000"
235,"The effects of facial expression and relaxation cues on movement economy, physiological, and perceptual responses during running","RE would be improved (i.e., lower VO2) and heart rate reduced during smiling in comparison with frowning and control.",main effect,"RM-ANOVA revealed a difference in VO2 between conditions, F (3, 69) = 5.88, p  = 0.001. Mean VO2 (Table 2 and Fig. 1) was lower during smiling than frowning (Mean difference, [MD] ¼ 0.94 ml/ min/kg, p ¼ 0.006, d¼0.23) and control (MD¼0.76 ml/min/kg, p ¼ 0.040, d ¼ 0.19).",3,69,5.88,p = 0.001,0.001,0.001,0.001,Reproduced,"F(3, 69) = 5.88, p = 0.00100"
236,The effects of competitiveness and challenge level on virtual reality rowing performance,"participants high in competitiveness were expected to row more metres, show higher power output, and exert greater physiological effort than those low in competitiveness",interaction effect,"A significant main effect of epoch was found for all performance measures, all Fs > 9.56, all ps < .001, all ηp 2 > .13, showing a general decline in performance across time before stabilising in the last 3 min. However, the trend across epochs differed across challenge level groups, as reflected in a significant challenge level×epoch interaction for distance, F (2, 153)=5.07, p=.004, ηp 2=.08,",2,153,5.07,p = 0.004,0.004,0.004,0.0074,Incorrectly rounded,"F(2, 153) = 5.07, p = 0.00400"
237,Enhancing performance expectancies through positive comparative feedback facilitates the learning of basketball free throw in children,positive comparative feedback group would demonstrate higher learning of the task than the control group.,main effect,"Punctuation scores were significantly higher for the PF group compared with the control group on the transfer test, F (1, 24)=4.86, p=.037, ηp 2=0.168 (Fig. 1)",1,24,4.86,p = 0.037,0.037,0.037,0.037,Reproduced,"F(1, 24) = 4.86, p = 0.03700"
239,Intensity and workload related dose-response effects of acute resistance exercise on domain-specific cognitive function and affective response – A four-armed randomized controlled crossover trial,exercise intensity and workload are related to the effect on lower or higher cognitive function,main effect,Repeated measures ANCOVAs revealed no effects of exercise re- gimes on post to pre changes of Stroop I (F(3)=0.936; p=0.428; η2p=0.039),3,24,0.936,p = 0.428,0.428,0.428,0.439,Not reproducible but compatible,"F(3, 24) = 0.936, p = 0.42800"
241,The acute effects of analogy and explicit instruction on movement and performance,"reduced accuracy, greater joint angle variability, slower angular velocity, and longer throw times would suggest more active manipulation of the instructions in working memory in line with Fitts

and Posner’s three-stage cognitive framework for motor learning (1967) and associated models of choking, such as Masters’ (1992) conscious processing hypothesis.",main effect,"A two-way repeated-measures analysis of variance (ANOVA) did not reveal a significant main effect of instruction type on accuracy, F(1, 19)=0.421, p=.524, ƞ2p =.02,",1,19,0.421,p = 0.524,0.524,0.524,0.524,Reproduced,"F(1, 19) = 0.421, p = 0.52400"
242,Effect of exposure time to smartphone apps on passing decision-making in male soccer athletes,higher exposure time to smartphone applications leads to higher impairment in passing decision making in professional soccer athletes.,main effect,"Effect of exposure time to smartphone F = 30.5 p = 0.001, h2 = 0.7",3,57,30.5,p = 0.001,0.001,0.001,0,Not reproducible but compatible,"F(3, 57) = 30.5, p = 0.00100"
243,Mental fatigue impairs visuomotor response time in badminton players and controls,We hypothesized that mental fatigue would negatively affect performance on the visuomotor task in controls,interaction effect,"an interaction between the effects of condition and time was present (condition x time; F(1,19) = 10.0; p = 0.005)",1,19,10,p = 0.005,0.005,0.005,0.005,Reproduced,"F(1, 19) = 10, p = 0.00500"
244,Approach-achievement goals and motivational context on psychophysiological functioning and performance among novice basketball players,"1) pursuit of an OAp, relative to SAp and TAp goals, would lead to significantly reduced (1a) physiological functioning (e.g., higher HR & BP recordings)",interaction effect,"There were also significant two-way effects between context and time on HR, F (3, 324)=8.88, p < .001, η2=0.16",3,324,8.88,p < 0.001,0.001,0.001,0,Reproduced,"F(3, 324) = 8.88, p = 0.00100"
245,The effect of unilateral hand contractions on psychophysiological activity during motor performance: Evidence of verbal-analytical engagement,"we predicted that unilateral hand contractions would influence verbal-analytical engagement (i.e., inferred by changes in T7-Fz connectivity) during movement planning. Specifically, we predicted that the left-hand contractions would lower verbal analytical engagement during motor planning compared to right-hand and no-hand contractions, and that right-hand contractions would raise verbal-analytical engagement in motor planning compared to left-hand and no-hand contractions.",main effect,"The results revealed a main effect of Condition, F(2,48) = 122.5, p < .001, ηp 2 = 0.84. Post-hoc tests revealed that left-hand contractions led to significantly lower T7-Fz connectivity, than right-hand contractions (p < .001) or no-hand contractions (p < .001,",2,48,122.5,p < 0.001,0.001,0.001,0,Reproduced,"F(2, 48) = 122.5, p = 0.00100"
246,Specific internal and external attentional focus instructions have differential effects on rowing performance,"a focus on proximal external cues (i.e., focusing on the movement and exerted

force on the handle) would result in increased physical effort than a focus on distal external cues (i.e., sounds of the ergometer, movement of the seat).",interaction effect,"an attentional focus × epoch interaction, F(11, 704) = 4.85, ε = 0.45, p < .001, ηp 2 = 0.07.",11,704,4.85,p < 0.001,0.001,0.001,0,Reproduced,"F(11, 704) = 4.85, p = 0.00100"
247,OXYGEN UPTAKE SLOW COMPONENT AND THE EFFICIENCY OF RESISTANCE EXERCISES,"as V_O2sc increases in a prolonged constant-load test at LT intensity, work efficiency in resistance exercises such as HS should be reduced, and therefore, it would be plausible to propose a causal inverse relationship between the V_O2sc, energy expended (EE), and mechanical efficiency",main effect,"A significant slight and sustained increases of EE was identified (F6, 108 = 10.54, p , 0.001, h2 p = 0.369, SP = 1)",6,108,10.54,p < 0.001,0.001,0.001,0,Reproduced,"F(6, 108) = 10.54, p = 0.00100"
249,HOW TO SERVE FASTER IN TENNIS: THE INFLUENCE OF AN ALTERED FOCUS OF ATTENTION AND AUGMENTED FEEDBACK ON SERVICE SPEED IN ELITE PLAYERS,"an immediate performance-enhancing effect was expected for EF, AF, and AF + EF compared to CON.",main effect,"Repeated-measures ANOVA revealed a significant main effect of “condition” (Figure 2A; F4,36 = 5.54, h2 p = 0.38; p < 0.001)",4,36,5.54,p < 0.001,0.001,0.001,0.0014,Incorrectly rounded,"F(4, 36) = 5.54, p = 0.00100"
256,Evaluation of High-Intensity Interval Training and Beta-Alanine Supplementation on Efficiency of Electrical Activity and Electromyographic Fatigue Threshold,"We have hypothesized that EMGFT or work rate at which an individual could theoretically sustain for a prolonged duration without neuromuscular evidence of fatigue could be improved with anaerobic training or aerobic ergogenic supplements, such as HIIT and BA, respectively.",interaction effect,"Two-way mixed factorial results for EMGFT indicated there was no significant interaction for treatment group x time (F4,76 = 1.346; p = 0.26; effect size: partial eta-squared (h2p 50.066)",4,76,1.346,p = 0.26,0.26,0.26,0.261,Reproduced,"F(4, 76) = 1.346, p = 0.26000"
267,DOES INTRA-ABDOMINAL PRESSURE HAVE A CAUSAL EFFECT ON MUSCLE STRENGTH OF HIP AND KNEE JOINTS?,"hypothesize that IAP has a causal effect on muscle strength, at least of hip extensor and thereby an increase in IAP leads to an enhancement of muscle strength of hip extensor",main effect,"There was no significant main effect in the maximal torque of hip flexor (F = 1.972, p = 0.155, partial h2 = 0.104)",2,34,1.972,P = 0.155,0.155,0.155,0.155,Reproduced,"F(2, 34) = 1.972, p = 0.15500"
275,A randomised controlled trial of 1- versus 2-day per week formats of Nordic hamstring training on explosive athletic tasks in prepubertal soccer players,"We hypothesised that NHE training would result in improved performance in all the dependent variables and that the 1-day format would be just as effective as

the 2-day format.",interaction effect,"After the intervention, our analyses revealed significant group by time interactions for SLJ (df = 1, F = 12.194, p = 0.001, d = 1.27)",1,43,12.194,p = 0.001,0.001,0.001,0.001,Reproduced,"F(1, 43) = 12.194, p = 0.00100"
276,Caffeine reverts loss of muscular performance during the early-follicular phase in resistance-trained naturally menstruating women,"It was hypothesized that muscle strength, muscle power, and muscular endurance would decrease during the early-follicular phase, and caffeine ingestion would attenuate

this decline.",interaction effect,"There was a supplement and menstrual cycle phase interaction for jump height (F(1.13) = 6.33, ηp2 = 0.33, p = 0.026, Figure 3)",1,13,6.33,p = 0.026,0.026,0.026,0.026,Reproduced,"F(1, 13) = 6.33, p = 0.02600"
277,A distal external focus of attention facilitates compensatory coordination of body parts,We hypothesised that a distal external focus would result in higher accuracy scores as well as increased functional variability compared to a more proximal or internal focus,main effect,"F (2,38) = 21.43, p <.001  np2 0.53",2,38,21.43,p < 0.001,0.001,0.001,0,Reproduced,"F(2, 38) = 21.43, p = 0.00100"
279,Detrimental effects on executive function and mood following consecutive days of repeated highintensity sprint interval exercise in trained male sports players,We first hypothesised that a cumulative effect of multiple exercise bouts would have a negative effect on cognitive performance and mood on day 2 compared to day 1.,interaction effect,"A condition x day interaction effect (F(1,20)=6.24, p = 0.02, ηp2 = 0.21) revealed FCRT to be slower across day 2 in the exercise condition when compared to day 1 (p < 0.05) with no such effect in the control condition (Figure 2a).",1,20,6.24,p = 0.02,0.02,0.02,0.021,Reproduced,"F(1, 20) = 6.24, p = 0.02000"
285,Effects of Judo on Neurocognitive Indices of Response Inhibition in Preadolescent Children: A Randomized Controlled Trial,"Based on the neurocognitive profile of martial arts athletes (29–31), greater increases in N2 negativity and/or P3a/b amplitudes over the intervention period were assumed in the judo training group compared with the control group.",interaction effect,"Moreover, there was a time–group interaction for N2 amplitude (F(1,40) = 6.0, P = 0.019, η2 = 0.13)",1,40,6,p = 0.019,0.019,0.019,0.019,Reproduced,"F(1, 40) = 6, p = 0.01900"
288,Short- and Long-Term Stroboscopic Training Effects on Visuomotor Performance in Elite Youth Sports. Part 1: Reaction and Behavior,It was hypothesized that athletes training under stroboscopic conditions outperform the control group in both the laboratory and field test.,interaction effect,"a significant TIME–GROUP interaction was observed (F2,60 = 6.01, P = 0.004, η2p = 0.167)",2,60,6.01,P = 0.004,0.004,0.004,0.004,Reproduced,"F(2, 60) = 6.01, p = 0.00400"
292,The Effects of Cannabidiol Oil on Noninvasive Measures of Muscle Damage in Men,"it was hypothesized that CBD may re- duce perceived muscle soreness and inflammation, and enhance performance recovery.",interaction effect,"there were no significant interactions between the experimental factors (condition  time; F(4,48) = 0.055, P > 0.05)",4,48,0.055,P > 0.05,0.051,0.051,0.994,Not reproducible but compatible,"F(4, 48) = 0.055, p = 0.05100"
293,The effects of physical activity timing and complexity on episodic memory: A randomized controlled trial,"Physical activity before encoding was expected to result in superior long-term episodic

memory performance when compared to physical activity after encoding.",interaction effect,"Group X Time interaction F(4,84) =1.03, p =.379.",4,84,1.03,p = 0.379,0.379,0.379,0.397,Not reproducible but compatible,"F(4, 84) = 1.03, p = 0.37900"
295,Affordance-based control in deceptive and non-deceptive penalties in soccer goalkeeping: Gender matters!,"the single underlying constraints (i.e., the goalkeepers’ maximum action capabilities defining the time required, or ball flight time and direction defining the time available) were different for female and male goalkeepers and gender differences in timing are expected to emerge.",main effect,"The ANOVA for the number of saves revealed a significant main effect for gender, F (1, 14) =5.05, p =.04, ηp 2 =0.27, and a significant gender by strategy interaction, F (1, 14) =6.32, p =.03, ηp 2 =0.31",1,14,5.05,p =0.04,0.04,0.04,0.041,Reproduced,"F(1, 14) = 5.05, p = 0.04000"
296,Perceptual-cognitive performance of youth soccer players in a 360◦-environment – Differences between age groups and performance levels,elite youth soccer players to show better perceptual-cognitive performance than sub-elite youth player,main effect,"a statistically significant main effect of performance level on 360-MOT performance was found, F (1,260) =4.76, p = .030, η2p =.02, with elite players having higher 360-MOT scores than sub-elite players.",1,260,4.76,p = 0.03,0.03,0.03,0.03,Reproduced,"F(1, 260) = 4.76, p = 0.03000"
297,Unimpaired performance during cognitive and visual manipulations in persons with anterior cruciate ligament reconstruction compared to healthy adults,"We hypothesized ACLR individuals would prioritize visual cognitive faculties and thus perform

better on cognitive tests that required visual scanning.",main effect,"The majority of cognitive analyses failed to detect a statistically significant effect […] (F = 0.33, p = 0.8 Cohen's f = 0.03)",1,40,0.33,p = 0.8,0.8,0.8,0.569,Not reproducible but compatible,"F(1, 40) = 0.33, p = 0.80000"
298,How am I doing? Performance feedback mitigates the effects of mental fatigue on endurance exercise performance,We hypothesized that visual performance feedback would prevent mental fatigue from impairing endurance performance on a 5-min rhythmic muscular endurance handgrip task.,interaction effect,"revealed a main effect for test, F(1, 57) =19.08, p < .001, η2 =0.25, whereby force fell from pre-test (M =17.92 %MVC/s) to post-test (M = 16.78 %MVC/s), and a group by test interaction effect, F(2, 57) =7.22, p <.002, η2 =0.20",2,57,7.22,p < 0.002,0.002,0.002,0.002,Reproduced,"F(2, 57) = 7.22, p = 0.00200"
299,Effects of the function-specific instruction approach to neurofeedback training on frontal midline theta waves and golf putting performance,the FSI group would demonstrate a significant decrease in FMTpower compared with the TI and sham control (SC) groups during 2-s motor preparation after NFT,interaction effect,"There was a significant interaction between group and time, F(8, 58) =2.177, p =.043, Wilks’ lambda =0.591, ηp 2 =0.231, power =.809).",8,58,2.177,p = 0.043,0.043,0.043,0.043,Reproduced,"F(8, 58) = 2.177, p = 0.04300"
300,"Effects of acute endurance, strength, and coordination exercise interventions on attention in adolescents: A randomized controlled study",we hypothesized that the three exercise intervention groups would increase their attention test performance more that the control group.,main effect,"Contrast-coded analysis (+1, +1, +1, − 3 for the three intervention groups and the control group,

respectively) was significant, F(1, 75) =9.02, p =.004, ηp2 =0.11,",1,75,9.02,p = 0.004,0.004,0.004,0.004,Reproduced,"F(1, 75) = 9.02, p = 0.00400"
301,Protective effect of aerobic fitness on the detrimental influence of exhaustive exercise on information processing capacity,"if GXT affects cognitive measure beyond the mean level of performance, it is expected to see a performance change in resilience capacity independent of mean RT, providing an alternative explanation for the moderating role of aerobic fitness in the relationship

between HIE and inhibitory control change.",interaction effect,"Results revealed a main effect of Session [F (1, 63) = 4.59, p =.036, ηp2=0.068], which was superseded by a significant effect of Session ×Group interaction [F (1, 63) =5.54, p =.022, ηp

2=0.081].",1,63,5.54,p = 0.022,0.022,0.022,0.022,Reproduced,"F(1, 63) = 5.54, p = 0.02200"
302,"Effect of brief mindfulness and relaxation inductions on anxiety, affect and brain activation in athletes","MI and RI would both improve anxiety and affect, compared with a control condition.",interaction effect,"Two-way ANOVA revealed a time effect for SAI score [F(1, 34) = 17.11, p < .001, ηp2 = 0.34], which was superseded by a significant condition × time interaction [F(2, 68) = 6.48, p = .004, ηp2 = 0.16]. Post hoc analysis indicated that the decreased scores from pre-test to post-test in MI (37.83 ± 10.82 vs. 31.31 ± 9.44, p < .001) and RI (36.94 ± 9.51 vs. 32.00 ± 8.66, p < .001), but not control condition (34.86 ± 8.03 vs 34.06 ± 9.40, p = .536). There was no duration main effect, F(2, 173) =0.95, p =.39, η2 =0.01,",2,68,6.48,p = 0.004,0.004,0.004,0.0027,Not reproducible but compatible,"F(2, 68) = 6.48, p = 0.00400"
308,Reducing the peak tibial acceleration of running by musicbased biofeedback: A quasi-randomized controlled trial,"We hypothesize that music-based biofeedback can be effective for running with lower impact

(ie, PTAa) during a multi-session protocol when motor learning principles are applied and self-discovery strategies are elicited",interaction effect,"There were significant group x time interactions for PTAa (F = 4.675, p = 0.044, ηP 2   =  0.206, ηG 2   =  0.031),",1,18,4.675,p = 0.044,0.044,0.044,0.044,Reproduced,"F(1, 18) = 4.675, p = 0.04400"
309,Greater effects by performing a small number of eccentric contractions daily than a larger number of them once a week,"no significant increases in maximal voluntary contraction (MVC) torque and muscle thickness would be found after the training of six maximal eccentric contractions in 1 day per week, but the training of six maximal eccentric contractions in 1 day for 5days per week, and five sets of six maximal eccentric contractions in 1 day per week (30 eccentric contractions per week) would show increases in both MVC torque and muscle thickness.",main effect,"Significant differences among the groups were also evident for changes in  MVC-ECCAVE (F [2, 33]  =  7.901, p =  0.002, 휂2 p =  0.324)",2,33,7.901,p = 0.002,0.002,0.002,0.002,Reproduced,"F(2, 33) = 7.901, p = 0.00200"
310,The impacts of a combined exercise on executive function in children with ADHD: A randomized controlled trial,"EFs and sleep quality would be improved by combined exercise intervention in the two groups (i.e., experimental group [EG] vs. wait-list control group [CG]) of children with ADHD",interaction effect,"Significant group-by-time interaction effects for inhibition were observed (F = 12.197, p = 0.001, η 2  = 0.15). A follow-up of the simple main effects revealed that RT in incongruent trials decreased in the EG compared with the wait-list CG at Time 2 (F = 31.93, p<0.01, η 2  = 0.31; refer to Figure 2)",1,66,12.197,p = 0.001,0.001,0.001,0.001,Reproduced,"F(1, 66) = 12.197, p = 0.00100"
311,Cold water immersion improves recovery of sprint speed following a simulated tournament,"It was hypothesised that CWI in accordance with the majority of the litera- ture to date, would be effective at reducing DOMS, but have no effect on other markers of recovery.",interaction effect,"Perception of DOMS showed main effects of bout (F2,34 = 16.521, p < .001), time (F2,34 = 58.003, p < .001) and bout x time interactions (F4,68 = 8.774, p < .001)",4,68,8.774,p < 0.001,0.001,0.001,0,Reproduced,"F(4, 68) = 8.774, p = 0.00100"
313,"Effects of Pilates on fall risk factors in community- dwelling elderly women: A randomized, controlled trial","We hypothesized that a 12-week Pilates exercise pro- gramme would have positive effects and reduce the risk of falling by increasing balance confidence, decreas- ing the fear of falling, and improving postural control.",interaction effect,"The Group × Time interaction yielded statistically significant differences: F(1, 105) = 64.31, p < 0.001, η2 = 0.38,",1,105,64.31,p < 0.001,0.001,0.001,0,Reproduced,"F(1, 105) = 64.31, p = 0.00100"
315,Moderate-intensity exercise performed in the evening does not impair sleep in healthy males,"If elevated core body temperature does impact sleep, then post-exercise sleep should not be impaired if core body temperature has returned to pre-exercise levels prior to bedtime.",main effect,"There was no effect of condition on total sleep time (F(2,10)=3.484, p = 0.071)7",2,10,3.484,0.71,0.71,0.71,0.071,Reproduced,"F(2, 10) = 3.484, p = 0.71000"
319,The effect of electrical muscle stimulation on quadriceps muscle strength and activation patterns in healthy young adults,EMS intervention induced improvement of muscle strength and different distribution of muscle activity,interaction effect,"The knee extension torque showed significant interaction between group and period (F (1, 30) = 32.09, p < 0.0001)",1,30,32.09,p < 0.0001,0.0001,0,0,Reproduced,"F(1, 30) = 32.09, p = 0.00010"
320,Delayed potentiation effects on neuromuscular performance after optimal load and high load resistance priming sessions using velocity loss,a morning squat-based priming session may enhance neuromuscular performance and psychological readiness 6 hours after the end of the session.,main effect,"Results from one-way ANOVA showed a main effect of the priming session on CMJ height (F2,20=11.58; p<0.001; ηp2=0.537)",2,20,11.58,p < 0.001,0.001,0.001,0,Reproduced,"F(2, 20) = 11.58, p = 0.00100"
321,Four weeks of high-intensity interval training (HIIT) improve the cardiometabolic risk profile of overweight patients with type 1 diabetes mellitus (T1DM),we hypothesized that an individually designed “all-out” HIIT intervention would improve the metabolic risk profile to a greater extend in overweight compared to normal weight T1DM patients.,interaction effect,"A time×group effect was detected for LDL and UA levels, in that overweight participants presented reduced LDL levels by -6.61±10.02% and UA levels by -10.50±9.67% at follow-up (LDL, interaction p=0.042,",1,20,4.74,p = 0.042,0.042,0.042,0.042,Reproduced,"F(1, 20) = 4.74, p = 0.04200"
327,Tibial internal and external rotation taping for improving pain in patients with patellofemoral pain syndrome,"We hypothesized that, consistent with the un-derlying biomechanical model, tibial IRT would be the more effective interms of pain reduction",main effect,"Repeated measures ANOVA showed that compared with no taping, IRT and ERT were both effective at improving pain during the three clinical tests (F = 224.10, p < 0.001, partial η2 = 0.94). For IRT and ERT, there was a tape direction effect whereby ERT was more effective than IRT (F = 4.90, p = 0.044, partial η2 = 0.26).",2,28,4.9,p = 0.044,0.044,0.044,0.044,Reproduced,"F(1, 14) = 4.9, p = 0.044000"
332,"Effect of brain endurance training on maximal oxygen uptake, time-to-exhaustion, and inhibitory control in runners",BET improves time-to-exhaustion (without changing VO2max) and inhibitory control than cognitive or endur- ance interventions,main effect,"There was found no main effect of group for time-to-exhaustion [F(2, 42)=0.97; p=0.38 (CI95%=0.32– 0.53); ηp2=0.01 (CI95%=0.004–0.02); ES=small]. There was a significant group×time interaction for time-to- exhaustion [F(2, 42) = 19.08; p = 0.001 (CI95% = 0.001– 0.01); ηp2=0.11 (CI95%=0.08–0.19); ES=large]. Post-hoc test showed an increase in time-to-exhaustion from baseline (CT = 45.66 ± 8.30 min; ET = 45.93 ± 8.89 min; BET = 47.20 ± 9.54 min) for post-experiment (CT=45.20±8.46, Δ%=1.00; ET=49.80±8.81, Δ%=8.42; BET=52.40±8.87min, Δ%=11.01) only for ET and BET groups (p < 0.05).",2,42,0.97,P = 0.38,0.38,0.38,0.387,Reproduced,"F(2, 42) = 0.97, p = 0.38000"
334,Similar patterns of tendon regional hypertrophy after low- load blood flow restriction and high-load resistance training,"Given the low mechanical stress with BFR training, we hypothesized that the low loading of LL-BFR may not elicit a region-specific hypertrophic response as delineated with HL training.",interaction effect,"No significant interaction F(1,27) = 0.1, p = 0.754, n2p = 0.004, 95%CI n2p [0.00, 0.15]",2,127,0.1,p = 0.754,0.754,0.754,0.905,Not reproducible but compatible,"F(2, 127) = 0.1, p = 0.75400"
336,Effects of plyometric training on different 8-week training intensity distributions in well-trained endurance runners,"our hypothesis was that plyometrics could have a positive effect on running performance re- gardless of the TID utilized, but the magnitude of this ef- fect might be different as different physiological patterns are involved during the training programs",interaction effect,"For vBLa4, there was a significant main effect of time (F [1, 56] = 48.7; p < 0.0001; n2p = 0.21 and an interaction groupxtime (F[3,56] = 3.4; p = 0.0235, n2p = 0.07), while no main effect of group (F [3, 56] = 0.1; p = 0.9794; np2 = 0.01)",3,56,3.4,0.0235,0.0235,0.024,0.024,Reproduced,"F(3, 56) = 3.4, p = 0.02350"
341,Concurrent brain endurance training improves endurance exercise performance,we expected that concurrent mental and physical training would improve exercise performance compared to physical training alone.,unclear,"Absolute physical task performance was analysed with a 2 group (BET, Control) by 2 test (pre, post) by 3 task (subsequent, solo, concurrent) by 10 time (30-s averages) ANOVA on force produced per second, revealing a group-by-test interaction effect (F1,34 = 6.064, p < 0.05, n2 = .15).",1,34,6.064,p < 0.05,0.05,0.05,0.019,Not reproducible but compatible,"F(1, 34) = 6.064, p = 0.05000"
342,Training wearing thermal clothing and training in hot ambient conditions are equally effective methods of heat acclimation,We hypothesized that effects of training in HEAT and SUIT exert similar effects on exercise performance and that SUITHWI training would exert greater effects on exercise performance.,interaction effect,"There were no dif- ferences between HEAT, SUIT and SUITHWI in improvement of 30- min all-out average power in the heat following the 10-day interven- tion period (9.5 ± 3.8%, 9.5 ± 3.6 and 9.9 ± 5.2%, respectively, main effect: p < 0.001, F = 192.3, interaction effect: p = 0.995, F = 0.005).",2,66,0.005,p = 0.995,0.995,0.995,0.995,Reproduced,"F(2, 66) = 0.005, p = 0.99500"
343,The effect of a decrease in stretch-shortening cycle function after cycling on subsequent running,it was hypothesized that the decrease in SSC function after cycling negatively affects cardiorespiratory and bio- mechanical variables in subsequent running.,interaction effect,"A two-way repeated measure ANOVA revealed a significant interac- tion between group (SSC dec, SSC non-dec) and time (pre, post1, and post2) (F2, 28 = 9.77, p = 0.001)",2,28,9.77,p = 0.001,0.001,0.001,0.001,Reproduced,"F(2, 28) = 9.77, p = 0.00100"
350,Acute effects of whole-body vibration warm-up on leg and vertical stiffness during running,"We hypothesized that acute exposure to WBV could potentially increase leg stiffness through changes in spatiotemporal parameters (flight and contact times, SR, and SL) during running at submaximal speed",interaction effect,"the statistical analysis for leg stiffness revealed significant interaction effects (F(1,21) = 4.493, p = 0.046, η2 = 0.176) between time (pre, post) and condition (type of protocol)",1,21,4.493,p = 0.046,0.046,0.046,0.046,Reproduced,"F(1, 21) = 4.493, p = 0.04600"
407,International Journal of Sports Physiology and Performance,"Brain Endurance Training Improves Physical, Cognitive, and Multitasking Performance in Professional Football Players",interaction effect,"The ANOVA yielded a group × time interaction for velocity at the end of the 30–15 IFT (F1,20 = 5.12, P = .04, η2p = .09; Figure 1A).",1,20,5.12,p = 0.04,0.04,0.04,0.0349,Incorrectly rounded,"F(1, 20) = 5.12, p = 0.04000"
408,International Journal of Sports Physiology and Performance,Efficacy of Resisted Sled Sprint Training Compared With Unresisted Sprint Training on Acceleration and Sprint Performancein Rugby Players: An 8-Week Randomized Controlled Trial,main effect,"There was a significant effect for the training group on 10-m sprint time after controlling for baseline value (F1,23 = 17.39; P < .01; η2p = .44)",1,23,20.77,p < 0.01,0.01,0.01,0,Reproduced,"F(1, 23) = 20.77, p = 0.01000"
409,International Journal of Sports Physiology and Performance,"Mental Fatigue: The Cost of Cognitive Loading on Weight Lifting, Resistance Training, and Cycling Performance",main effect,"Performance during the 20-minute TT, a measure of physical endurance, was impaired by MF. The 2-condition by 6-time ANOVA yielded a main effect of condition for power (F1,14 = 5.65, P = .032, η2p = .19)",1,14,5.65,p = 0.032,0.032,0.032,0.032,Reproduced,"F(1, 14) = 5.65, p = 0.03200"
412,International Journal of Sports Physiology and Performance,Simultaneous Upper- and Lower-Limb Postactivation Performance Enhancement After Clean and Jerk,main effect,There was a main effect of condition on CMJ height (F = 5.550; P = .038; power = 0.575),1,11,5.55,p = 0.038,0.038,0.038,0.038,Reproduced,"F(1, 11) = 5.55, p = 0.03800"
414,European Journal of Sport Science,Does anodal tDCS improve basketball performance? A randomized controlled trial,interaction effect,"ANOVAs show significant intervention*time effects on both the shooting accuracy test (F1,51 = 5.6; P = 0.022) and on the Illinois ball-dribbling test (F1,51 = 4.5; P = 0.038)",1,51,5.6,p = 0.022,0.022,0.022,0.022,Reproduced,"F(1, 51) = 5.6, p = 0.02200"
416,Brain Endurance Training improves endurance and cognitive performance in road cyclists,"Post-BET would enhance endurance performance and cognitive performance more than traditional physical training (control), especially in fatigued states. ",interaction effect,"Group by Test ANOVAs yielded interaction effects for TTE at 80 % PPO (F(1, 24) = 5.32, p = 0.032, η2p = 0.30)",1,24,5.32,p = 0.032,0.032,0.032,0.03,Reproduced,"F(1, 24) = 5.32, p = 0.03200"
